CompanyName,localauthority_name,postcode,accountcode,Employees_thisyear,Employees_lastyear,percent_changefromprevyear,SIC_5DIGIT_CODE,SIC_5DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,SIC_2DIGIT_NAME,SIC_3DIGIT_CODE,SIC_3DIGIT_NAME,SIC_SECTION_LETTER,SIC_SECTION_CODE,SIC_SECTION_NAME,incorporationdate_formatted,age_of_firm_years
NQUBEKOZOLANI LTD,Barnsley,S701YP,20231231,989,0,Inf,45200,45200 : Maintenance and repair of motor vehicles,45,45,45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,452,452 : Maintenance and repair of motor vehicles,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2018-12-24T00:00:00Z,6.542465753424658
GRIPPLE LIMITED,Sheffield,S47UQ,20231231,932,957,-2.61,25990,25990 : Manufacture of other fabricated metal products nec,25,25,"25 : Manufacture of fabricated metal products, except machinery and equipment",259,259 : Manufacture of other fabricated metal products,C,C (10-33),Manufacturing,1983-11-25T00:00:00Z,41.64657534246575
POTTERS RESORTS LIMITED,Sheffield,S118YZ,20231231,784,784,0,55100,55100 : Hotels and similar accommodation,55,55,55 : Accommodation,551,551 : Hotels and similar accommodation,I,I (55-56),Accommodation and food service activities,2021-10-12T00:00:00Z,3.73972602739726
THE A & S LEISURE GROUP LIMITED,Sheffield,S62BL,20240930,743,743,0,92000,92000 : Gambling and betting activities,92,92,92 : Gambling and betting activities,920,920 : Gambling and betting activities,R,R (90-93),"Arts, entertainment and recreation",1968-09-20T00:00:00Z,56.83561643835616
MASSARELLA CATERING GROUP LIMITED,Rotherham,S251XZ,20231231,716,684,4.68,70100,70100 : Activities of head offices,70,70,70 : Activities of head offices; management consultancy activities,701,701 : Activities of head offices,M,M (69-75),"Professional, scientific and technical activities",1978-05-25T00:00:00Z,47.153424657534245
ORBITAL UMBRELLA LIMITED,Barnsley,S702JW,20231031,712,1039,-31.47,82110,82110 : Combined office administrative service activities,82,82,"82 : Office administrative, office support and other business support activities",821,821 : Office administrative and support activities,N,N (77-82),Administrative and support service activities,2010-11-03T00:00:00Z,14.687671232876712
NORTHGATE FAST FOOD LIMITED,Sheffield,S93YE,20230930,687,687,0,56102,56102 : Unlicensed restaurants and cafes,56,56,56 : Food and beverage service activities,561,561 : Restaurants and mobile food service activities,I,I (55-56),Accommodation and food service activities,1993-08-03T00:00:00Z,31.95068493150685
MASSARELLA RESTAURANTS LIMITED,Rotherham,S251XZ,20231231,561,559,0.36,56101,56101 : Licensed restaurants,56,56,56 : Food and beverage service activities,561,561 : Restaurants and mobile food service activities,I,I (55-56),Accommodation and food service activities,1992-03-20T00:00:00Z,33.323287671232876
NCR FINANCIAL SOLUTIONS GROUP LIMITED,Rotherham,S601LH,20231231,500,605,-17.36,71121,71121 : Engineering design activities for industrial process and production,71,71,71 : Architectural and engineering activities; technical testing and analysis,711,711 : Architectural and engineering activities and related technical consultancy,M,M (69-75),"Professional, scientific and technical activities",1946-07-11T00:00:00Z,79.04657534246576
POTTER'S LEISURE LTD.,Sheffield,S118YZ,20231231,494,494,0,93290,93290 : Other amusement and recreation activities,93,93,93 : Sports activities and amusement and recreation activities,932,932 : Amusement and recreation activities,R,R (90-93),"Arts, entertainment and recreation",1948-05-03T00:00:00Z,77.23287671232876
FORDE RECRUITMENT LIMITED,Sheffield,S12EB,20241130,480,350,37.14,78200,78200 : Temporary employment agency activities,78,78,78 : Employment activities,782,782 : Temporary employment agency activities,N,N (77-82),Administrative and support service activities,1999-03-10T00:00:00Z,26.34794520547945
MULCROFT LIMITED,Sheffield,S93YE,20230930,445,445,0,56102,56102 : Unlicensed restaurants and cafes,56,56,56 : Food and beverage service activities,561,561 : Restaurants and mobile food service activities,I,I (55-56),Accommodation and food service activities,1989-10-31T00:00:00Z,35.70958904109589
SIERRA 1 SECURITY STEWARDING LTD,Sheffield,S95AF,20240331,440,556,-20.86,80100,80100 : Private security activities,80,80,80 : Security and investigation activities,801,801 : Private security activities,N,N (77-82),Administrative and support service activities,2020-01-17T00:00:00Z,5.476712328767123
ONE CALL INSURANCE SERVICES LIMITED,Doncaster,DN45JQ,20231231,437,389,12.34,66220,66220 : Activities of insurance agents and brokers,66,66,66 : Activities auxiliary to financial services and insurance activities,662,662 : Activities auxiliary to insurance and pension funding,K,K (64-66),Financial and insurance activities,2003-03-11T00:00:00Z,22.34246575342466
BARNSLEY FOOTBALL CLUB LIMITED,Barnsley,S711ET,20240630,435,383,13.58,93199,93199 : Other sports activities (not including activities of racehorse owners) nec,93,93,93 : Sports activities and amusement and recreation activities,931,931 : Sports activities,R,R (90-93),"Arts, entertainment and recreation",2002-10-25T00:00:00Z,22.71780821917808
SUN HEALTHCARE LIMITED,Barnsley,S702LT,20240630,434,402,7.96,87900,87900 : Other residential care activities,87,87,87 : Residential care activities,879,879 : Other residential care activities,Q,Q (86-88),Human health and social work activities,2001-05-21T00:00:00Z,24.147945205479452
QUEENSCOURT LIMITED,Sheffield,S93YE,20230930,416,416,0,56102,56102 : Unlicensed restaurants and cafes,56,56,56 : Food and beverage service activities,561,561 : Restaurants and mobile food service activities,I,I (55-56),Accommodation and food service activities,1995-01-09T00:00:00Z,30.515068493150686
YOURCARE24 LTD,Sheffield,S92FH,20240531,400,400,0,86900,86900 : Other human health activities,86,86,86 : Human health activities,869,869 : Other human health activities,Q,Q (86-88),Human health and social work activities,2016-05-25T00:00:00Z,9.126027397260273
MARCEGAGLIA STAINLESS SHEFFIELD LTD,Sheffield,S91TZ,20231231,395,0,Inf,24100,24100 : Manufacture of basic iron and steel and of ferro-alloys,24,24,24 : Manufacture of basic metals,241,241 : Manufacture of basic iron and steel and of ferro-alloys,C,C (10-33),Manufacturing,2022-02-11T00:00:00Z,3.4054794520547946
S.P.Q. LTD.,Sheffield,S93YE,20230930,392,392,0,56102,56102 : Unlicensed restaurants and cafes,56,56,56 : Food and beverage service activities,561,561 : Restaurants and mobile food service activities,I,I (55-56),Accommodation and food service activities,2003-04-22T00:00:00Z,22.22739726027397
YORKSHIRE REPAK LIMITED,Barnsley,S702NP,20240531,354,409,-13.45,32990,32990 : Other manufacturing nec,32,32,32 : Other manufacturing,329,329 : Other manufacturing,C,C (10-33),Manufacturing,1985-03-11T00:00:00Z,40.35342465753425
PROFORCE SECURITY SERVICES LIMITED,Sheffield,S91BX,20240930,350,350,0,70229,70229 : Management consultancy activities (other than financial management),70,70,70 : Activities of head offices; management consultancy activities,702,702 : Management consultancy activities,M,M (69-75),"Professional, scientific and technical activities",2007-09-10T00:00:00Z,17.838356164383562
YOUR CARE PROVIDER LTD,Barnsley,S730HQ,20240531,348,311,11.9,87300,87300 : Residential care activities for the elderly and disabled,87,87,87 : Residential care activities,873,873 : Residential care activities for the elderly and disabled,Q,Q (86-88),Human health and social work activities,2017-11-01T00:00:00Z,7.6876712328767125
ANSYS UK LIMITED,Sheffield,S12JE,20231231,344,320,7.5,62090,62090 : Other information technology and computer service activities,62,62,"62 : Computer programming, consultancy and related activities",620,"620 : Computer programming, consultancy and related activities",J,J (58-63),Information and communication,2000-01-27T00:00:00Z,25.46301369863014
2 AM MANAGEMENT COMPANY LIMITED,Barnsley,S630JF,20240331,338,396,-14.65,70100,70100 : Activities of head offices,70,70,70 : Activities of head offices; management consultancy activities,701,701 : Activities of head offices,M,M (69-75),"Professional, scientific and technical activities",2009-02-12T00:00:00Z,16.410958904109588
T. QUALITY LIMITED,Doncaster,DN59TL,20231231,332,311,6.75,46380,"46380 : Wholesale of other food, including fish, crustaceans and molluscs",46,46,"46 : Wholesale trade, except of motor vehicles and motorcycles",463,"463 : Wholesale of food, beverages and tobacco",G,G (45-47),Wholesale and retail trade; repair of motor vehicles,1947-06-28T00:00:00Z,78.08219178082192
SCHAEFFLER (UK) LIMITED,Rotherham,S265PN,20231231,328,329,-0.3,28150,"28150 : Manufacture of bearings, gears, gearing and driving elements",28,28,28 : Manufacture of machinery and equipment n.e.c.,281,281 : Manufacture of general purpose machinery,C,C (10-33),Manufacturing,1955-10-26T00:00:00Z,69.74794520547945
HEB GROUP LTD,Sheffield,S47UQ,20240331,299,255,17.25,70100,70100 : Activities of head offices,70,70,70 : Activities of head offices; management consultancy activities,701,701 : Activities of head offices,M,M (69-75),"Professional, scientific and technical activities",2019-08-16T00:00:00Z,5.898630136986301
