SIC_2DIGIT_CODE,SIC_2DIGIT_NAME,SIC_3DIGIT_CODE,SIC_3DIGIT_NAME,SIC_4DIGIT_CODE,SIC_4DIGIT_NAME,SIC_5DIGIT_CODE,SIC_5DIGIT_NAME,SIC_2DIGIT_CODE_NUMERIC,SIC_SECTION_LETTER,SIC_SECTION_CODE,SIC_SECTION_NAME
01,"01 : Crop and animal production, hunting and related service activities",010,010 : DEFRA/Scottish Executive Agricultural Data,0100,0100 : DEFRA/Scottish Executive Agricultural Data,01000,01000 : DEFRA/Scottish Executive Agricultural Data,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0111,"0111 : Growing of cereals (except rice), leguminous crops and oil seeds",01110,"01110 : Growing of cereals (except rice), leguminous crops and oil seeds",1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0112,0112 : Growing of rice,01120,01120 : Growing of rice,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0113,"0113 : Growing of vegetables and melons, roots and tubers",01130,"01130 : Growing of vegetables and melons, roots and tubers",1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0114,0114 : Growing of sugar cane,01140,01140 : Growing of sugar cane,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0115,0115 : Growing of tobacco,01150,01150 : Growing of tobacco,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0116,0116 : Growing of fibre crops,01160,01160 : Growing of fibre crops,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",011,011 : Growing of non-perennial crops,0119,0119 : Growing of other non-perennial crops,01190,01190 : Growing of other non-perennial crops,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0121,0121 : Growing of grapes,01210,01210 : Growing of grapes,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0122,0122 : Growing of tropical and subtropical fruits,01220,01220 : Growing of tropical and subtropical fruits,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0123,0123 : Growing of citrus fruits,01230,01230 : Growing of citrus fruits,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0124,0124 : Growing of pome fruits and stone fruits,01240,01240 : Growing of pome fruits and stone fruits,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0125,0125 : Growing of other tree and bush fruits and nuts,01250,01250 : Growing of other tree and bush fruits and nuts,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0126,0126 : Growing of oleaginous fruits,01260,01260 : Growing of oleaginous fruits,1,A,A (1-3),"Agriculture, forestry and fishing"
01,"01 : Crop and animal production, hunting and related service activities",012,012 : Growing of perennial crops,0127,0127 : Growing of beverage crops,01270,01270 : Growing of beverage crops,1,A,A (1-3),"Agriculture, forestry and fishing"
